Rank,Branch,last_role_title,Target_Next_Role,Target_Next_Role_Raw
Lieutenant,Engineering,Div Officer,Staff Officer SFHQ - Technical Policy,Staff Officer SFHQ - Technical Policy
Lieutenant Commander,Engineering,Staff Officer SFHQ - Technical Policy,Head of Deptt,Head of Deptt ISS Titan / Post 1
Lieutenant,Engineering,Div Officer,Asst Manager,Asst Manager Starbase Support Command Delta
Lieutenant Commander,Engineering,Asst Manager,Head of Deptt,Head of Deptt ISS Atlantis / Post 2
Lieutenant,Tactical Systems,Div Officer,Instructor -,Instructor - Starfleet Hull School
Lieutenant Commander,Tactical Systems,Instructor -,Head of Deptt,Head of Deptt SS Nova / Post 1
Lieutenant,Engineering,Div Officer,Staff Officer,Staff Officer Field HQ - Engineering
Lieutenant Commander,Engineering,Staff Officer,Head of Deptt,Head of Deptt SS Nova / Post 2
Lieutenant,Engineering,Div Officer,Dy Manager,Dy Manager Starbase Support Command Gamma
Lieutenant Commander,Engineering,Dy Manager,Head of Deptt,Head of Deptt CS Genesis / Post 1
Lieutenant,Hull Systems,Asst Manager Hull Repair Yard Alpha,Dy Manager,Dy Manager Starbase Support Command Delta
Lieutenant Commander,Hull Systems,Dy Manager,Staff Officer R&D - Hull Integrity,Staff Officer R&D - Hull Integrity / Post 1
Lieutenant,Tactical Systems,Div Officer,Instructor -,Instructor - Warp Technology Institute
Lieutenant Commander,Tactical Systems,Instructor -,Head of Deptt,Head of Deptt SS Daedalus / Post 1
Lieutenant,Engineering,Div Officer,Dy Manager,Dy Manager Fleet Maintenance Wing Beta
Lieutenant Commander,Engineering,Dy Manager,Head of Deptt,Head of Deptt SS Pioneer / Post 1
Lieutenant,Engineering,Div Officer,Staff Officer SFHQ - Systems Integration,Staff Officer SFHQ - Systems Integration
Lieutenant Commander,Engineering,Staff Officer SFHQ - Systems Integration,Head of Deptt,Head of Deptt SS Gateway / Post 1
Lieutenant,Engineering,Div Officer,Instructor -,Instructor - Starfleet Science Academy
Lieutenant Commander,Engineering,Instructor -,Head of Deptt,Head of Deptt USS Valiant / Post 1
Lieutenant,Tactical Systems,Div Officer,Instructor -,Instructor - Advanced Systems College
Lieutenant Commander,Tactical Systems,Instructor -,Head of Deptt,Head of Deptt ISS Meridian / Post 1
Lieutenant,Tactical Systems,Div Officer,Dy Manager Planetary Repair Depot Two,Dy Manager Planetary Repair Depot Two
Lieutenant Commander,Tactical Systems,Dy Manager Planetary Repair Depot Two,Head of Deptt,Head of Deptt RS Gateway / Post 1
Lieutenant,Tactical Systems,Div Officer,Instructor -,Instructor - Starfleet Engineering Academy
Lieutenant Commander,Tactical Systems,Instructor -,Head of Deptt,Head of Deptt RS Meridian / Post 1
Lieutenant,Tactical Systems,Div Officer,Asst Manager,Asst Manager Systems Maintenance Group Sigma
Lieutenant Commander,Tactical Systems,Asst Manager,Head of Deptt,Head of Deptt SS Nova / Post 3
Lieutenant,Tactical Systems,Div Officer,Instructor -,Instructor - Starfleet Science Academy
Lieutenant Commander,Tactical Systems,Instructor -,Head of Deptt,Head of Deptt USS Resolute / Post 1
Lieutenant,Tactical Systems,Div Officer,Asst Manager,Asst Manager Starbase Support Command Delta
Lieutenant Commander,Tactical Systems,Asst Manager,Head of Deptt,Head of Deptt USS Intrepid / Post 1
Lieutenant,Tactical Systems,Div Officer,Asst Manager Hull Repair Yard Beta,Asst Manager Hull Repair Yard Beta
Lieutenant Commander,Tactical Systems,Asst Manager Hull Repair Yard Beta,Head of Deptt,Head of Deptt CS Horizon / Post 1
Lieutenant,Tactical Systems,Div Officer,Instructor -,Instructor - Systems Design College
Lieutenant Commander,Tactical Systems,Instructor -,Head of Deptt,Head of Deptt ISS Genesis / Post 1
Lieutenant,Tactical Systems,Div Officer,Instructor -,Instructor - Enlisted Technical School
Lieutenant Commander,Tactical Systems,Instructor -,Head of Deptt,Head of Deptt ISS Daedalus / Post 1
Lieutenant,Hull Systems,Staff Officer R&D - Structural Materials,Staff Officer SFHQ - Doctrine and Development,Staff Officer SFHQ - Doctrine and Development
Lieutenant Commander,Hull Systems,Staff Officer SFHQ - Doctrine and Development,Dy Manager Hull Repair Yard Alpha,Dy Manager Hull Repair Yard Alpha / Post 1
Lieutenant,Tactical Systems,Div Officer,Staff Officer,Staff Officer Field HQ - Tactical Systems
Lieutenant Commander,Tactical Systems,Staff Officer,Head of Deptt,Head of Deptt CS Gateway / Post 1
Lieutenant,Engineering,Div Officer,Instructor -,Instructor - Warp Technology Institute
Lieutenant Commander,Engineering,Instructor -,Head of Deptt,Head of Deptt USS Odyssey / Post 1
Lieutenant,Hull Systems,Staff Officer,Staff Officer SFHQ -,Staff Officer SFHQ - Fleet Readiness
Lieutenant Commander,Hull Systems,Staff Officer SFHQ -,Dy Manager,Dy Manager Starbase Support Command Delta / Post 1
Lieutenant,Engineering,Div Officer,Dy Manager Planetary Repair Depot One,Dy Manager Planetary Repair Depot One
Lieutenant Commander,Engineering,Dy Manager Planetary Repair Depot One,Head of Deptt,Head of Deptt ISS Titan / Post 2
Lieutenant,Engineering,Div Officer,Dy Manager,Dy Manager Dockyard Complex One
Lieutenant Commander,Engineering,Dy Manager,Head of Deptt,Head of Deptt USS Horizon / Post 1
Lieutenant,Engineering,Asst Manager,Dy Manager,Dy Manager Systems Maintenance Group Sigma
Lieutenant Commander,Engineering,Dy Manager,Staff Officer R&D - Propulsion Systems,Staff Officer R&D - Propulsion Systems / Post 1
Lieutenant,Engineering,Div Officer,Dy Manager Hull Repair Yard Alpha,Dy Manager Hull Repair Yard Alpha
Lieutenant Commander,Engineering,Dy Manager Hull Repair Yard Alpha,Head of Deptt,Head of Deptt RS Prometheus / Post 1
Lieutenant,Tactical Systems,Asst Manager,Asst Manager Hull Repair Yard Alpha,Asst Manager Hull Repair Yard Alpha
Lieutenant Commander,Tactical Systems,Asst Manager Hull Repair Yard Alpha,Dy Manager,Dy Manager Starbase Support Command Gamma / Post 1
Lieutenant,Engineering,Div Officer,Instructor -,Instructor - Advanced Systems College
Lieutenant Commander,Engineering,Instructor -,Head of Deptt,Head of Deptt USS Phoenix / Post 2
Lieutenant,Engineering,Asst Manager Hull Repair Yard Beta,Asst Manager Planetary Repair Depot One,Asst Manager Planetary Repair Depot One
Lieutenant Commander,Engineering,Asst Manager Planetary Repair Depot One,Dy Manager,Dy Manager Systems Maintenance Group Sigma / Post 1
Lieutenant,Tactical Systems,Div Officer,Dy Manager Planetary Repair Depot One,Dy Manager Planetary Repair Depot One
Lieutenant Commander,Tactical Systems,Dy Manager Planetary Repair Depot One,Head of Deptt,Head of Deptt USS Valiant / Post 2
Lieutenant,Engineering,Div Officer,Instructor -,Instructor - Advanced Systems College
Lieutenant Commander,Engineering,Instructor -,Head of Deptt,Head of Deptt CS Nova / Post 1
Lieutenant,Tactical Systems,Div Officer,Staff Officer SFHQ - Resource Management,Staff Officer SFHQ - Resource Management
Lieutenant Commander,Tactical Systems,Staff Officer SFHQ - Resource Management,Head of Deptt,Head of Deptt ISS Meridian / Post 2
Lieutenant,Engineering,Div Officer,Asst Manager,Asst Manager Fleet Maintenance Wing Alpha
Lieutenant Commander,Engineering,Asst Manager,Head of Deptt,Head of Deptt SS Daedalus / Post 2
Lieutenant,Engineering,Div Officer,Asst Manager,Asst Manager Dockyard Complex Two
Lieutenant Commander,Engineering,Asst Manager,Head of Deptt,Head of Deptt SS Daedalus / Post 3
Lieutenant,Tactical Systems,Div Officer,Staff Officer,Staff Officer Field HQ - Tactical Systems
Lieutenant Commander,Tactical Systems,Staff Officer,Head of Deptt,Head of Deptt CS Titan / Post 1
Lieutenant,Engineering,Div Officer,Dy Manager,Dy Manager Dockyard Complex Two
Lieutenant Commander,Engineering,Dy Manager,Head of Deptt,Head of Deptt USS Defiant / Post 1
Lieutenant,Engineering,Div Officer,Instructor -,Instructor - Starfleet Engineering Academy
Lieutenant Commander,Engineering,Instructor -,Head of Deptt,Head of Deptt ISS Gateway / Post 1
Lieutenant,Engineering,Asst Manager,Dy Manager,Dy Manager Dockyard Complex One
Lieutenant Commander,Engineering,Dy Manager,Staff Officer R&D - Sensors and Communications,Staff Officer R&D - Sensors and Communications / Post 1
Lieutenant,Engineering,Div Officer,Instructor -,Instructor - Starfleet Hull School
Lieutenant Commander,Engineering,Instructor -,Head of Deptt,Head of Deptt SS Genesis / Post 1
Lieutenant,Engineering,Asst Manager,Asst Manager,Asst Manager Fleet Maintenance Wing Beta
Lieutenant Commander,Engineering,Asst Manager,Staff Officer R&D - Nanotech Repair,Staff Officer R&D - Nanotech Repair / Post 1
Lieutenant,Tactical Systems,Asst Manager,Dy Manager,Dy Manager Systems Maintenance Group Prime
Lieutenant Commander,Tactical Systems,Dy Manager,Staff Officer R&D - Deflector Shields,Staff Officer R&D - Deflector Shields / Post 1
Lieutenant,Engineering,Div Officer,Instructor -,Instructor - Systems Design College
Lieutenant Commander,Engineering,Instructor -,Head of Deptt,Head of Deptt USS Intrepid / Post 2
Lieutenant,Tactical Systems,Div Officer,Instructor -,Instructor - Fleet Technical Training Center
Lieutenant Commander,Tactical Systems,Instructor -,Head of Deptt,Head of Deptt RS Nova / Post 1
Lieutenant,Tactical Systems,Div Officer,Staff Officer SFHQ - Strategic Planning,Staff Officer SFHQ - Strategic Planning
Lieutenant Commander,Tactical Systems,Staff Officer SFHQ - Strategic Planning,Head of Deptt,Head of Deptt ISS Daedalus / Post 2
Lieutenant,Engineering,Asst Manager,Asst Manager Planetary Repair Depot Two,Asst Manager Planetary Repair Depot Two
Lieutenant Commander,Engineering,Asst Manager Planetary Repair Depot Two,Dy Manager,Dy Manager Systems Maintenance Group Prime / Post 2
Lieutenant,Engineering,Asst Manager Planetary Repair Depot One,Asst Manager,Asst Manager Systems Maintenance Group Prime
Lieutenant Commander,Engineering,Asst Manager,Training Officer -,Training Officer - Warp Technology Institute / Post 1
Lieutenant,Engineering,Div Officer,Instructor -,Instructor - Warp Technology Institute / Post 3
Lieutenant,Tactical Systems,Div Officer,Instructor -,Instructor - Starfleet Hull School / Post 2
Lieutenant,Engineering,Asst Manager Planetary Repair Depot Two,Dy Manager Hull Repair Yard Alpha,Dy Manager Hull Repair Yard Alpha / Post 2
Lieutenant,Tactical Systems,Div Officer,Instructor -,Instructor - Systems Design College / Post 4
Lieutenant,Engineering,Div Officer,Instructor -,Instructor - Starfleet Science Academy / Post 2
Lieutenant,Tactical Systems,Div Officer,Instructor -,Instructor - Enlisted Technical School / Post 2
Lieutenant,Tactical Systems,Div Officer,Instructor -,Instructor - Advanced Systems College / Post 2
Lieutenant,Tactical Systems,Div Officer,Staff Officer SFHQ - Doctrine and Development,Staff Officer SFHQ - Doctrine and Development / Post 1
Lieutenant,Tactical Systems,Div Officer,Staff Officer SFHQ -,Staff Officer SFHQ - Fleet Readiness / Post 1
Lieutenant,Tactical Systems,Div Officer,Instructor -,Instructor - Advanced Systems College / Post 3
Lieutenant,Engineering,Div Officer,Instructor -,Instructor - Starfleet Hull School / Post 3
Lieutenant,Hull Systems,Staff Officer R&D - Stealth Systems,Staff Officer R&D - Structural Materials,Staff Officer R&D - Structural Materials / Post 1
Lieutenant,Engineering,Div Officer,Instructor -,Instructor - Starfleet Engineering Academy / Post 2
Lieutenant,Engineering,Div Officer,Instructor -,Instructor - Enlisted Technical School / Post 3
Lieutenant,Tactical Systems,Staff Officer SFHQ - Operations Analysis,Dy Manager,Dy Manager Systems Maintenance Group Sigma / Post 2
Lieutenant,Engineering,Div Officer,Instructor -,Instructor - Fleet Technical Training Center / Post 2
Lieutenant,Tactical Systems,Div Officer,Staff Officer,Staff Officer Field HQ - Tactical Systems / Post 3
Lieutenant,Engineering,Div Officer,Instructor -,Instructor - Starfleet Science Academy / Post 3
Lieutenant,Tactical Systems,Asst Manager,Asst Manager,Asst Manager Systems Maintenance Group Sigma / Post 3
Lieutenant,Engineering,Div Officer,Instructor -,Instructor - Advanced Systems College / Post 4
Lieutenant,Engineering,Div Officer,Instructor -,Instructor - Enlisted Technical School / Post 4
Lieutenant,Engineering,Div Officer,Asst Manager,Asst Manager Dockyard Complex Two / Post 5
Lieutenant,Tactical Systems,Div Officer,Instructor -,Instructor - Starfleet Engineering Academy / Post 3
Lieutenant,Engineering,Div Officer,Instructor -,Instructor - Warp Technology Institute / Post 4
Lieutenant,Engineering,Div Officer,Instructor -,Instructor - Enlisted Technical School / Post 5
Lieutenant,Tactical Systems,Asst Manager,Asst Manager,Asst Manager Systems Maintenance Group Sigma / Post 4
Lieutenant,Engineering,Asst Manager,Dy Manager,Dy Manager Fleet Maintenance Wing Beta / Post 2
Lieutenant,Engineering,Div Officer,Instructor -,Instructor - Warp Technology Institute / Post 5
Lieutenant,Engineering,Div Officer,Instructor -,Instructor - Starfleet Engineering Academy / Post 4
Lieutenant,Tactical Systems,Div Officer,Instructor -,Instructor - Warp Technology Institute / Post 6
Lieutenant,Tactical Systems,Div Officer,Instructor -,Instructor - Enlisted Technical School / Post 6
Lieutenant,Tactical Systems,Div Officer,Instructor -,Instructor - Starfleet Engineering Academy / Post 5
Lieutenant,Engineering,Div Officer,Instructor -,Instructor - Warp Technology Institute / Post 7
Lieutenant,Tactical Systems,Div Officer,Asst Manager,Asst Manager Starbase Support Command Delta / Post 5
Lieutenant,Engineering,Div Officer,Instructor -,Instructor - Starfleet Hull School / Post 4
Lieutenant,Tactical Systems,Div Officer,Instructor -,Instructor - Starfleet Science Academy / Post 4
Lieutenant,Engineering,Div Officer,Instructor -,Instructor - Starfleet Hull School / Post 5
Lieutenant,Tactical Systems,Div Officer,Asst Manager Planetary Repair Depot Two,Asst Manager Planetary Repair Depot Two / Post 6
Lieutenant,Engineering,Div Officer,Instructor -,Instructor - Starfleet Science Academy / Post 5
Lieutenant,Tactical Systems,Asst Manager,Asst Manager,Asst Manager Dockyard Complex Two / Post 6
Lieutenant,Engineering,Div Officer,Instructor -,Instructor - Fleet Technical Training Center / Post 3
Lieutenant,Engineering,Div Officer,Instructor -,Instructor - Systems Design College / Post 5
Lieutenant,Tactical Systems,Div Officer,Asst Manager,Asst Manager Systems Maintenance Group Prime / Post 4
Lieutenant,Hull Systems,Staff Officer R&D - Hull Integrity,Staff Officer R&D - Nanotech Repair,Staff Officer R&D - Nanotech Repair / Post 3
Lieutenant,Tactical Systems,Div Officer,Instructor -,Instructor - Warp Technology Institute / Post 8
Lieutenant,Engineering,Div Officer,Instructor -,Instructor - Starfleet Science Academy / Post 6
Lieutenant,Engineering,Div Officer,Instructor -,Instructor - Advanced Systems College / Post 5
Lieutenant,Tactical Systems,Div Officer,Instructor -,Instructor - Starfleet Hull School / Post 6
Lieutenant,Tactical Systems,Div Officer,Instructor -,Instructor - Advanced Systems College / Post 6
Lieutenant,Tactical Systems,Div Officer,Instructor -,Instructor - Starfleet Science Academy / Post 7
Lieutenant,Tactical Systems,Div Officer,Instructor -,Instructor - Fleet Technical Training Center / Post 4
Lieutenant,Engineering,Div Officer,Instructor -,Instructor - Warp Technology Institute / Post 9
Lieutenant,Engineering,Div Officer,Instructor -,Instructor - Starfleet Hull School / Post 7
Lieutenant,Engineering,Div Officer,Instructor -,Instructor - Enlisted Technical School / Post 7
Lieutenant,Tactical Systems,Div Officer,Instructor -,Instructor - Systems Design College / Post 6
Lieutenant,Tactical Systems,Div Officer,Instructor -,Instructor - Starfleet Engineering Academy / Post 6
Lieutenant,Engineering,Div Officer,Staff Officer SFHQ - Capability Planning,Staff Officer SFHQ - Capability Planning / Post 4
Lieutenant,Engineering,Div Officer,Instructor -,Instructor - Systems Design College / Post 7
Lieutenant,Tactical Systems,Div Officer,Instructor -,Instructor - Advanced Systems College / Post 7
Lieutenant,Tactical Systems,Div Officer,Instructor -,Instructor - Starfleet Science Academy / Post 8
Lieutenant,Engineering,Div Officer,Instructor -,Instructor - Enlisted Technical School / Post 8
Lieutenant,Engineering,Asst Manager,Staff Officer,Staff Officer Field HQ - Engineering / Post 2
Lieutenant,Engineering,Div Officer,Instructor -,Instructor - Systems Design College / Post 8
Lieutenant,Engineering,Div Officer,Instructor -,Instructor - Fleet Technical Training Center / Post 5
Lieutenant,Tactical Systems,Div Officer,Instructor -,Instructor - Starfleet Hull School / Post 8
Lieutenant,Engineering,Div Officer,Instructor -,Instructor - Fleet Technical Training Center / Post 6
Lieutenant,Engineering,Div Officer,Instructor -,Instructor - Advanced Systems College / Post 8
Lieutenant,Engineering,Div Officer,Instructor -,Instructor - Starfleet Science Academy / Post 9
Lieutenant,Engineering,Div Officer,Instructor -,Instructor - Starfleet Engineering Academy / Post 7
Lieutenant,Engineering,Div Officer,Instructor -,Instructor - Starfleet Science Academy / Post 10
Lieutenant,Tactical Systems,Div Officer,Staff Officer,Staff Officer Field HQ - Tactical Systems / Post 4
Lieutenant,Tactical Systems,Div Officer,Staff Officer,Staff Officer Field HQ - Tactical Systems / Post 5
Lieutenant,Engineering,Div Officer,Instructor -,Instructor - Starfleet Hull School / Post 9
Lieutenant,Engineering,Div Officer,Instructor -,Instructor - Enlisted Technical School / Post 9
Lieutenant,Hull Systems,Asst Manager,Staff Officer R&D - Propulsion Systems,Staff Officer R&D - Propulsion Systems / Post 2
Lieutenant,Tactical Systems,Div Officer,Asst Manager Hull Repair Yard Alpha,Asst Manager Hull Repair Yard Alpha / Post 2
Lieutenant,Tactical Systems,Div Officer,Staff Officer,Staff Officer Field HQ - Tactical Systems / Post 6
Lieutenant,Tactical Systems,Div Officer,Instructor -,Instructor - Starfleet Hull School / Post 10
Lieutenant,Engineering,Div Officer,Instructor -,Instructor - Warp Technology Institute / Post 10
Lieutenant,Tactical Systems,Asst Manager,Dy Manager,Dy Manager Starbase Support Command Gamma / Post 2
Lieutenant,Tactical Systems,Div Officer,Instructor -,Instructor - Starfleet Hull School / Post 11
Lieutenant,Tactical Systems,Div Officer,Instructor -,Instructor - Starfleet Hull School / Post 12
Lieutenant,Tactical Systems,Div Officer,Asst Manager Planetary Repair Depot Two,Asst Manager Planetary Repair Depot Two / Post 7
Lieutenant,Tactical Systems,Div Officer,Instructor -,Instructor - Fleet Technical Training Center / Post 7
Lieutenant,Tactical Systems,Div Officer,Instructor -,Instructor - Warp Technology Institute / Post 11
Lieutenant,Tactical Systems,Div Officer,Dy Manager,Dy Manager Systems Maintenance Group Prime / Post 3
Lieutenant,Engineering,Div Officer,Instructor -,Instructor - Systems Design College / Post 9
Lieutenant,Engineering,Div Officer,Asst Manager,Asst Manager Starbase Support Command Delta / Post 6
Lieutenant,Tactical Systems,Div Officer,Instructor -,Instructor - Warp Technology Institute / Post 12
Lieutenant,Tactical Systems,Div Officer,Instructor -,Instructor - Enlisted Technical School / Post 10
Lieutenant,Engineering,Div Officer,Instructor -,Instructor - Advanced Systems College / Post 9
Lieutenant,Engineering,Div Officer,Dy Manager Hull Repair Yard Beta,Dy Manager Hull Repair Yard Beta / Post 2
Lieutenant,Engineering,Div Officer,Instructor -,Instructor - Fleet Technical Training Center / Post 8
Lieutenant,Tactical Systems,Div Officer,Instructor -,Instructor - Advanced Systems College / Post 10
Lieutenant,Engineering,Asst Manager,Dy Manager Hull Repair Yard Beta,Dy Manager Hull Repair Yard Beta / Post 3
Lieutenant,Engineering,Div Officer,Staff Officer SFHQ -,Staff Officer SFHQ - Fleet Readiness / Post 2
Lieutenant,Hull Systems,Staff Officer R&D - Nanotech Repair,Staff Officer R&D - Energy Systems,Staff Officer R&D - Energy Systems / Post 1
Lieutenant,Hull Systems,Staff Officer R&D - Quantum Computing,Staff Officer,Staff Officer Field HQ - Hull Systems / Post 1
Lieutenant,Engineering,Div Officer,Instructor -,Instructor - Systems Design College / Post 10
Lieutenant,Engineering,Div Officer,Staff Officer,Staff Officer Field HQ - Engineering / Post 3
Lieutenant,Tactical Systems,Div Officer,Instructor -,Instructor - Advanced Systems College
Lieutenant Commander,Tactical Systems,Instructor -,Head of Deptt,Head of Deptt USS Prometheus / Post 1
Lieutenant,Tactical Systems,Div Officer,Asst Manager,Asst Manager Fleet Maintenance Wing Beta
Lieutenant Commander,Tactical Systems,Asst Manager,Head of Deptt,Head of Deptt SS Genesis / Post 2
Lieutenant,Engineering,Div Officer,Instructor -,Instructor - Systems Design College
Lieutenant Commander,Engineering,Instructor -,Head of Deptt,Head of Deptt RS Daedalus / Post 1
Lieutenant,Tactical Systems,Div Officer,Instructor -,Instructor - Enlisted Technical School
Lieutenant Commander,Tactical Systems,Instructor -,Head of Deptt,Head of Deptt RS Genesis / Post 1
Lieutenant,Tactical Systems,Div Officer,Instructor -,Instructor - Starfleet Science Academy
Lieutenant Commander,Tactical Systems,Instructor -,Head of Deptt,Head of Deptt USS Phoenix / Post 3
Lieutenant,Tactical Systems,Div Officer,Instructor -,Instructor - Enlisted Technical School
Lieutenant Commander,Tactical Systems,Instructor -,Head of Deptt,Head of Deptt USS Odyssey / Post 2
Lieutenant,Engineering,Div Officer,Instructor -,Instructor - Enlisted Technical School
Lieutenant Commander,Engineering,Instructor -,Head of Deptt,Head of Deptt RS Gateway / Post 2
Lieutenant,Tactical Systems,Asst Manager,Asst Manager,Asst Manager Fleet Maintenance Wing Alpha
Lieutenant Commander,Tactical Systems,Asst Manager,Dy Manager,Dy Manager Systems Maintenance Group Sigma / Post 3
Lieutenant,Engineering,Div Officer,Instructor -,Instructor - Advanced Systems College
Lieutenant Commander,Engineering,Instructor -,Head of Deptt,Head of Deptt RS Titan / Post 1
Lieutenant,Tactical Systems,Div Officer,Instructor -,Instructor - Starfleet Science Academy
Lieutenant Commander,Tactical Systems,Instructor -,Head of Deptt,Head of Deptt CS Pioneer / Post 1
Lieutenant,Engineering,Div Officer,Staff Officer SFHQ - Doctrine and Development,Staff Officer SFHQ - Doctrine and Development
Lieutenant Commander,Engineering,Staff Officer SFHQ - Doctrine and Development,Head of Deptt,Head of Deptt RS Meridian / Post 2
Lieutenant,Tactical Systems,Div Officer,Instructor -,Instructor - Advanced Systems College
Lieutenant Commander,Tactical Systems,Instructor -,Head of Deptt,Head of Deptt SS Gateway / Post 2
Lieutenant,Engineering,Div Officer,Instructor -,Instructor - Systems Design College
Lieutenant Commander,Engineering,Instructor -,Head of Deptt,Head of Deptt CS Nova / Post 2
Lieutenant,Engineering,Div Officer,Instructor -,Instructor - Warp Technology Institute
Lieutenant Commander,Engineering,Instructor -,Head of Deptt,Head of Deptt SS Genesis / Post 3
Lieutenant,Engineering,Div Officer,Instructor -,Instructor - Enlisted Technical School
Lieutenant Commander,Engineering,Instructor -,Head of Deptt,Head of Deptt SS Horizon / Post 1
Lieutenant,Tactical Systems,Div Officer,Asst Manager,Asst Manager Systems Maintenance Group Sigma
Lieutenant Commander,Tactical Systems,Asst Manager,Head of Deptt,Head of Deptt CS Atlantis / Post 1
Lieutenant,Tactical Systems,Div Officer,Instructor -,Instructor - Systems Design College
Lieutenant Commander,Tactical Systems,Instructor -,Head of Deptt,Head of Deptt USS Helios / Post 1
Lieutenant,Engineering,Div Officer,Instructor -,Instructor - Starfleet Science Academy
Lieutenant Commander,Engineering,Instructor -,Head of Deptt,Head of Deptt RS Titan / Post 2
Lieutenant,Tactical Systems,Div Officer,Instructor -,Instructor - Starfleet Science Academy
Lieutenant Commander,Tactical Systems,Instructor -,Head of Deptt,Head of Deptt SS Pioneer / Post 2
Lieutenant,Tactical Systems,Div Officer,Instructor -,Instructor - Fleet Technical Training Center
Lieutenant Commander,Tactical Systems,Instructor -,Head of Deptt,Head of Deptt ISS Meridian / Post 3
Lieutenant,Engineering,Div Officer,Instructor -,Instructor - Advanced Systems College
Lieutenant Commander,Engineering,Instructor -,Head of Deptt,Head of Deptt RS Daedalus / Post 2
Lieutenant,Tactical Systems,Div Officer,Instructor -,Instructor - Enlisted Technical School
Lieutenant Commander,Tactical Systems,Instructor -,Head of Deptt,Head of Deptt SS Genesis / Post 4
Lieutenant,Tactical Systems,Div Officer,Instructor -,Instructor - Starfleet Hull School
Lieutenant Commander,Tactical Systems,Instructor -,Head of Deptt,Head of Deptt RS Meridian / Post 3
Lieutenant,Tactical Systems,Div Officer,Dy Manager Planetary Repair Depot Two,Dy Manager Planetary Repair Depot Two
Lieutenant Commander,Tactical Systems,Dy Manager Planetary Repair Depot Two,Head of Deptt,Head of Deptt CS Genesis / Post 2
Lieutenant,Tactical Systems,Div Officer,Instructor -,Instructor - Systems Design College
Lieutenant Commander,Tactical Systems,Instructor -,Head of Deptt,Head of Deptt SS Gateway / Post 3
